# BEGIN PLOT
DrawOnly=B B-PP
Legend=1
LegendOnly=//home/marek/work/aav-ew/results/yodas/envelopes-aaz/aaz_B.yoda/MC_AAZ_NLOEW/dphi_y1_l1l2 //home/marek/work/aav-ew/results/yodas/envelopes-aaz/aaz_B_aa_induced.yoda/MC_AAZ_NLOEW/dphi_y1_l1l2
LogY=1
MainPlot=0
PlotSize=10,5
RatioPlot=0
RatioPlot1=1
RatioPlot1DrawOnly=B B-PP
RatioPlot1Legend1=0
RatioPlot1Legend1Only=B B-PP
RatioPlot1Legend1XPos=0.5
RatioPlot1Legend1YPos=0.9
RatioPlot1LogY=1
RatioPlot1Reference=B
RatioPlot1SameStyle=1
RatioPlot1YLabel=d$\sigma$/d$\sigma_\text{LO}^{q\bar{q}}$
RatioPlot1YMajorTickMarks=5
RatioPlot1YMax=1e1
RatioPlot1YMin=1e-4
RatioPlot1YSize=3
Title=
XLabel=$\Delta\phi_{\gamma_1,\ell^+\ell^-}$
XTwosidedTicks=1
YLabel=d$\sigma$/d$\Delta\phi$ [pb]
YTwosidedTicks=1
# END PLOT

# BEGIN HISTO1D //home/marek/work/aav-ew/results/yodas/envelopes-aaz/aaz_B.yoda/MC_AAZ_NLOEW/dphi_y1_l1l2
ErrorBandColor=blue
ErrorBandOpacity=0.2
ErrorBands=1
ErrorType=env
LineColor=blue!80!black
LineStyle=dotted
LineWidth=1.5pt
Name=B
Path=//home/marek/work/aav-ew/results/yodas/envelopes-aaz/aaz_B.yoda/MC_AAZ_NLOEW/dphi_y1_l1l2
Title=LO $q\bar{q}$-induced
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.570796e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.570797e-01	3.141594e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.141593e-01	4.712389e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.712389e-01	6.283185e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.283186e-01	7.853982e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.853982e-01	9.424778e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.424774e-01	1.099557e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.099557e+00	1.256637e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.256637e+00	1.413717e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.413717e+00	1.570796e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.570796e+00	1.727876e+00	1.077479e-04	1.425592e-05	1.297135e-05
1.727876e+00	1.884956e+00	6.368812e-04	8.315444e-05	7.549402e-05
1.884956e+00	2.042035e+00	1.418424e-03	1.808224e-04	1.636075e-04
2.042035e+00	2.199115e+00	2.169561e-03	2.659575e-04	2.393857e-04
2.199114e+00	2.356194e+00	2.777489e-03	3.229305e-04	2.887324e-04
2.356194e+00	2.513274e+00	3.232273e-03	3.513878e-04	3.116749e-04
2.513274e+00	2.670354e+00	3.622552e-03	3.622638e-04	3.182888e-04
2.670354e+00	2.827434e+00	4.015164e-03	3.616314e-04	3.141063e-04
2.827433e+00	2.984513e+00	4.384547e-03	3.438426e-04	2.945588e-04
2.984513e+00	3.141593e+00	4.446366e-03	2.931341e-04	2.474586e-04
# END HISTO1D

# BEGIN HISTO1D //home/marek/work/aav-ew/results/yodas/envelopes-aaz/aaz_B_aa_induced.yoda/MC_AAZ_NLOEW/dphi_y1_l1l2
LineColor=purple
LineStyle=solid
LineWidth=1.5pt
Name=B-PP
Path=//home/marek/work/aav-ew/results/yodas/envelopes-aaz/aaz_B_aa_induced.yoda/MC_AAZ_NLOEW/dphi_y1_l1l2
Title=LO $\gamma\gamma$-induced
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.570796e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.570797e-01	3.141594e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.141593e-01	4.712389e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.712389e-01	6.283185e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.283186e-01	7.853982e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.853982e-01	9.424778e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.424774e-01	1.099557e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.099557e+00	1.256637e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.256637e+00	1.413717e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.413717e+00	1.570796e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.570796e+00	1.727876e+00	2.049994e-07	1.206324e-09	1.206324e-09
1.727876e+00	1.884956e+00	1.286111e-06	2.982923e-09	2.982923e-09
1.884956e+00	2.042035e+00	3.040809e-06	4.472583e-09	4.472583e-09
2.042035e+00	2.199115e+00	5.086429e-06	5.588701e-09	5.588701e-09
2.199114e+00	2.356194e+00	7.255534e-06	6.333907e-09	6.333907e-09
2.356194e+00	2.513274e+00	9.588547e-06	6.860923e-09	6.860923e-09
2.513274e+00	2.670354e+00	1.217101e-05	7.285973e-09	7.285973e-09
2.670354e+00	2.827434e+00	1.496862e-05	7.633880e-09	7.633880e-09
2.827433e+00	2.984513e+00	1.759724e-05	7.843584e-09	7.843584e-09
2.984513e+00	3.141593e+00	1.733816e-05	7.845315e-09	7.845315e-09
# END HISTO1D

