# BEGIN PLOT
DrawOnly=B B-PP
Legend=1
LegendOnly=//home/marek/work/aav-ew/results/yodas/envelopes-aaz/aaz_B.yoda/MC_AAZ_NLOEW/m_y1y2_comb_log //home/marek/work/aav-ew/results/yodas/envelopes-aaz/aaz_B_aa_induced.yoda/MC_AAZ_NLOEW/m_y1y2_comb_log
LogX=1
LogY=1
MainPlot=0
PlotSize=10,5
RatioPlot=0
RatioPlot1=1
RatioPlot1DrawOnly=B B-PP
RatioPlot1Legend1=0
RatioPlot1Legend1Only=B B-PP
RatioPlot1Legend1XPos=0.5
RatioPlot1Legend1YPos=0.9
RatioPlot1LogY=1
RatioPlot1Reference=B
RatioPlot1SameStyle=1
RatioPlot1YLabel=d$\sigma$/d$\sigma_\text{LO}^{q\bar{q}}$
RatioPlot1YMajorTickMarks=5
RatioPlot1YMax=1e1
RatioPlot1YMin=1e-4
RatioPlot1YSize=3
Title=\hspace*{85pt}$\text{pp} \to \gamma\gamma\; e^+e^-$\; @\; 13 TeV
XCustomMajorTicks=30	30	50	50	100	100	300	300	500	500	1000	1000	3000	3000
XCustomMinorTicks=40	60	70	80	90	200	400	600	700	800	900	2000
XLabel=$m_{\gamma_1\gamma_2}$ [GeV]
XMax=3e3
XMin=3e1
XTwosidedTicks=1
YLabel=d$\sigma$/d$m$ [pb/GeV]
YTwosidedTicks=1
# END PLOT

# BEGIN HISTO1D //home/marek/work/aav-ew/results/yodas/envelopes-aaz/aaz_B.yoda/MC_AAZ_NLOEW/m_y1y2_comb_log
ErrorBandColor=blue
ErrorBandOpacity=0.2
ErrorBands=1
ErrorType=env
LineColor=blue!80!black
LineStyle=dotted
LineWidth=1.5pt
Name=B
Path=//home/marek/work/aav-ew/results/yodas/envelopes-aaz/aaz_B.yoda/MC_AAZ_NLOEW/m_y1y2_comb_log
Title=LO $q\bar{q}$-induced
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	6.998235e-07	8.491550e-08	7.636050e-08
8.000000e+00	1.200000e+01	6.758313e-06	7.467200e-07	6.642225e-07
1.200000e+01	1.600000e+01	1.202853e-05	1.257633e-06	1.112263e-06
1.600000e+01	2.000000e+01	1.642947e-05	1.702983e-06	1.505455e-06
2.000000e+01	2.400000e+01	2.134329e-05	2.249817e-06	1.993595e-06
2.400000e+01	2.800000e+01	2.869597e-05	3.167825e-06	2.823600e-06
2.800000e+01	3.200000e+01	4.803373e-05	5.939300e-06	5.371950e-06
3.200000e+01	3.600000e+01	8.012273e-05	1.058985e-05	9.649750e-06
3.600000e+01	4.000000e+01	8.199505e-05	1.027290e-05	9.280225e-06
4.000000e+01	4.400000e+01	7.680558e-05	9.100150e-06	8.150525e-06
4.400000e+01	4.800000e+01	7.127248e-05	8.121025e-06	7.233375e-06
4.800000e+01	5.200000e+01	6.450437e-05	7.072175e-06	6.266400e-06
5.200000e+01	5.600000e+01	5.745398e-05	6.055075e-06	5.337450e-06
5.600000e+01	6.000000e+01	5.074178e-05	5.143150e-06	4.510275e-06
6.000000e+01	6.400000e+01	4.457830e-05	4.341000e-06	3.787050e-06
6.400000e+01	6.800000e+01	3.923187e-05	3.667850e-06	3.183225e-06
6.800000e+01	7.200000e+01	3.447900e-05	3.098300e-06	2.675075e-06
7.200000e+01	7.600000e+01	3.036922e-05	2.618800e-06	2.249300e-06
7.600000e+01	8.000000e+01	2.685023e-05	2.222710e-06	1.899100e-06
8.000000e+01	8.400000e+01	2.373791e-05	1.887760e-06	1.604635e-06
8.400000e+01	8.800000e+01	2.106221e-05	1.608750e-06	1.360325e-06
8.800000e+01	9.200000e+01	1.876815e-05	1.376328e-06	1.157652e-06
9.200000e+01	9.600000e+01	1.674722e-05	1.179950e-06	9.873100e-07
9.600000e+01	1.000000e+02	1.497698e-05	1.014517e-06	8.443925e-07
1.000000e+02	1.040000e+02	1.342861e-05	8.727700e-07	7.224350e-07
1.040000e+02	1.080000e+02	1.208034e-05	7.540900e-07	6.208100e-07
1.080000e+02	1.120000e+02	1.088102e-05	6.531200e-07	5.347825e-07
1.120000e+02	1.160000e+02	9.805780e-06	5.661425e-07	4.610325e-07
1.160000e+02	1.200000e+02	8.890362e-06	4.939475e-07	4.000100e-07
1.200000e+02	1.240000e+02	8.078350e-06	4.301275e-07	3.462300e-07
1.240000e+02	1.280000e+02	7.328233e-06	3.760700e-07	3.010325e-07
1.280000e+02	1.320000e+02	6.657090e-06	3.295375e-07	2.622900e-07
1.320000e+02	1.360000e+02	6.088175e-06	2.894550e-07	2.289400e-07
1.360000e+02	1.400000e+02	5.553223e-06	2.540975e-07	1.997300e-07
1.400000e+02	1.440000e+02	5.088920e-06	2.229250e-07	1.740075e-07
1.440000e+02	1.480000e+02	4.662172e-06	1.967200e-07	1.525725e-07
1.480000e+02	1.520000e+02	4.266915e-06	1.736550e-07	1.338025e-07
1.520000e+02	1.560000e+02	3.936533e-06	1.534325e-07	1.173200e-07
1.560000e+02	1.600000e+02	3.621308e-06	1.350700e-07	1.024400e-07
1.600000e+02	1.640000e+02	3.335488e-06	1.196450e-07	9.004000e-08
1.640000e+02	1.680000e+02	3.076688e-06	1.059450e-07	7.907250e-08
1.680000e+02	1.720000e+02	2.852930e-06	9.436500e-08	6.983750e-08
1.720000e+02	1.760000e+02	2.641363e-06	8.364250e-08	6.132000e-08
1.760000e+02	1.800000e+02	2.452385e-06	7.466100e-08	5.423300e-08
1.800000e+02	1.840000e+02	2.263280e-06	6.579225e-08	4.727075e-08
1.840000e+02	2.154434e+02	1.667036e-06	3.977200e-08	2.709493e-08
2.154436e+02	2.511886e+02	9.740437e-07	1.466103e-08	8.260992e-09
2.511886e+02	2.928645e+02	5.577130e-07	3.640473e-09	5.794716e-10
2.928645e+02	3.414549e+02	3.149410e-07	1.976728e-09	6.112318e-10
3.414549e+02	3.981071e+02	1.752240e-07	2.336940e-09	1.786777e-09
3.981073e+02	4.641590e+02	9.629640e-08	1.935635e-09	1.750417e-09
4.641589e+02	5.411695e+02	5.232981e-08	1.405183e-09	1.372253e-09
5.411695e+02	6.309573e+02	2.800429e-08	9.339019e-10	9.530693e-10
6.309573e+02	7.356423e+02	1.475849e-08	5.875531e-10	6.179586e-10
7.356423e+02	8.576959e+02	7.727254e-09	3.565384e-10	3.834438e-10
8.576959e+02	1.000000e+03	3.932635e-09	2.065071e-10	2.261059e-10
9.999995e+02	1.245731e+03	1.702133e-09	1.022451e-10	1.139323e-10
1.245731e+03	1.551847e+03	5.848465e-10	4.079578e-11	4.631495e-11
1.551846e+03	1.933182e+03	1.867299e-10	1.493837e-11	1.724975e-11
1.933183e+03	2.408226e+03	5.409710e-11	4.918544e-12	5.772362e-12
2.408226e+03	3.000000e+03	1.308212e-11	1.343264e-12	1.602139e-12
# END HISTO1D

# BEGIN HISTO1D //home/marek/work/aav-ew/results/yodas/envelopes-aaz/aaz_B_aa_induced.yoda/MC_AAZ_NLOEW/m_y1y2_comb_log
LineColor=purple
LineStyle=solid
LineWidth=1.5pt
Name=B-PP
Path=//home/marek/work/aav-ew/results/yodas/envelopes-aaz/aaz_B_aa_induced.yoda/MC_AAZ_NLOEW/m_y1y2_comb_log
Title=LO $\gamma\gamma$-induced
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	2.444146e-09	1.953265e-11	1.953265e-11
8.000000e+00	1.200000e+01	2.811018e-08	6.246620e-11	6.246620e-11
1.200000e+01	1.600000e+01	5.194753e-08	8.353787e-11	8.353787e-11
1.600000e+01	2.000000e+01	6.940070e-08	9.868811e-11	9.868811e-11
2.000000e+01	2.400000e+01	8.349705e-08	1.106159e-10	1.106159e-10
2.400000e+01	2.800000e+01	9.820100e-08	1.265265e-10	1.265265e-10
2.800000e+01	3.200000e+01	1.234728e-07	1.579862e-10	1.579862e-10
3.200000e+01	3.600000e+01	1.657134e-07	2.042803e-10	2.042803e-10
3.600000e+01	4.000000e+01	1.931774e-07	2.224581e-10	2.224581e-10
4.000000e+01	4.400000e+01	2.024363e-07	2.213446e-10	2.213446e-10
4.400000e+01	4.800000e+01	1.997520e-07	2.154576e-10	2.154576e-10
4.800000e+01	5.200000e+01	1.904786e-07	2.013059e-10	2.013059e-10
5.200000e+01	5.600000e+01	1.773727e-07	1.887728e-10	1.887728e-10
5.600000e+01	6.000000e+01	1.632788e-07	1.762704e-10	1.762704e-10
6.000000e+01	6.400000e+01	1.491364e-07	1.636837e-10	1.636837e-10
6.400000e+01	6.800000e+01	1.355423e-07	1.523971e-10	1.523971e-10
6.800000e+01	7.200000e+01	1.226756e-07	1.405791e-10	1.405791e-10
7.200000e+01	7.600000e+01	1.113107e-07	1.307585e-10	1.307585e-10
7.600000e+01	8.000000e+01	1.007426e-07	1.223997e-10	1.223997e-10
8.000000e+01	8.400000e+01	9.114622e-08	1.144313e-10	1.144313e-10
